date,category,amount,month
2025-04-10,Labor - Regular,3252.0,2025-04
2025-04-10,Labor - Overtime,860.0,2025-04
2025-04-10,Fertilizers,1641.0,2025-04
2025-04-10,Pesticides & Fungicides,716.0,2025-04
2025-04-10,Seeds & Rootstock,997.0,2025-04
2025-04-10,Electricity,383.0,2025-04
2025-04-10,Water,191.0,2025-04
2025-04-10,Equipment Maintenance,319.0,2025-04
2025-04-10,Transport,297.0,2025-04
2025-04-10,Packaging Materials,214.0,2025-04
2025-04-10,Miscellaneous,179.0,2025-04
2025-04-11,Labor - Regular,3182.0,2025-04
2025-04-11,Labor - Overtime,682.0,2025-04
2025-04-11,Fertilizers,1770.0,2025-04
2025-04-11,Pesticides & Fungicides,609.0,2025-04
2025-04-11,Seeds & Rootstock,647.0,2025-04
2025-04-11,Electricity,390.0,2025-04
2025-04-11,Water,226.0,2025-04
2025-04-11,Equipment Maintenance,234.0,2025-04
2025-04-11,Transport,403.0,2025-04
2025-04-11,Packaging Materials,204.0,2025-04
2025-04-11,Miscellaneous,88.0,2025-04
2025-04-12,Labor - Regular,3246.0,2025-04
2025-04-12,Labor - Overtime,882.0,2025-04
2025-04-12,Fertilizers,1342.0,2025-04
2025-04-12,Pesticides & Fungicides,628.0,2025-04
2025-04-12,Seeds & Rootstock,898.0,2025-04
2025-04-12,Electricity,366.0,2025-04
2025-04-12,Water,219.0,2025-04
2025-04-12,Equipment Maintenance,234.0,2025-04
2025-04-12,Transport,304.0,2025-04
2025-04-12,Packaging Materials,216.0,2025-04
2025-04-12,Miscellaneous,245.0,2025-04
2025-04-13,Labor - Regular,0.0,2025-04
2025-04-13,Labor - Overtime,0.0,2025-04
2025-04-13,Fertilizers,188.0,2025-04
2025-04-13,Pesticides & Fungicides,81.0,2025-04
2025-04-13,Seeds & Rootstock,67.0,2025-04
2025-04-13,Electricity,36.0,2025-04
2025-04-13,Water,22.0,2025-04
2025-04-13,Equipment Maintenance,30.0,2025-04
2025-04-13,Transport,35.0,2025-04
2025-04-13,Packaging Materials,23.0,2025-04
2025-04-13,Miscellaneous,25.0,2025-04
2025-04-14,Labor - Regular,3413.0,2025-04
2025-04-14,Labor - Overtime,988.0,2025-04
2025-04-14,Fertilizers,1553.0,2025-04
2025-04-14,Pesticides & Fungicides,708.0,2025-04
2025-04-14,Seeds & Rootstock,895.0,2025-04
2025-04-14,Electricity,365.0,2025-04
2025-04-14,Water,230.0,2025-04
