plant_id,variety_name,zone_id,measurement_date,week_number,height_cm,girth_mm,weekly_growth_cm,leaf_count,disease_detected,stress_indicators,health_score
WN-2024-0001,Local Variety,ZONE-F,2024-07-03,1,4.0,2.5,1.87,6,,none,97.6
WN-2024-0001,Local Variety,ZONE-F,2024-07-10,2,6.1,2.7,2.14,8,,none,90.0
WN-2024-0001,Local Variety,ZONE-F,2024-07-17,3,7.9,2.9,1.82,9,,none,91.9
WN-2024-0001,Local Variety,ZONE-F,2024-07-24,4,10.2,3.1,2.31,12,,none,87.9
WN-2024-0001,Local Variety,ZONE-F,2024-07-31,5,11.9,3.2,1.7,10,,none,89.3
WN-2024-0001,Local Variety,ZONE-F,2024-08-07,6,13.7,3.4,1.76,17,,none,98.5
WN-2024-0001,Local Variety,ZONE-F,2024-08-14,7,15.4,3.5,1.7,19,,none,92.0
WN-2024-0001,Local Variety,ZONE-F,2024-08-21,8,17.5,3.7,2.12,18,,none,94.2
WN-2024-0001,Local Variety,ZONE-F,2024-08-28,9,19.3,3.9,1.79,22,,none,89.2
WN-2024-0001,Local Variety,ZONE-F,2024-09-04,10,20.8,4.0,1.47,24,,none,90.9
WN-2024-0001,Local Variety,ZONE-F,2024-09-11,11,22.4,4.2,1.66,30,,none,97.3
WN-2024-0001,Local Variety,ZONE-F,2024-09-18,12,24.1,4.4,1.67,28,,none,84.8
WN-2024-0001,Local Variety,ZONE-F,2024-09-25,13,25.2,4.4,1.13,28,,none,92.2
WN-2024-0001,Local Variety,ZONE-F,2024-10-02,14,26.2,4.6,1.02,28,,none,81.3
WN-2024-0001,Local Variety,ZONE-F,2024-10-09,15,27.1,4.6,0.83,30,,none,87.9
WN-2024-0001,Local Variety,ZONE-F,2024-10-16,16,28.5,4.7,1.43,31,,none,100.0
WN-2024-0001,Local Variety,ZONE-F,2024-10-23,17,29.5,4.7,1.02,37,,none,92.3
WN-2024-0001,Local Variety,ZONE-F,2024-10-30,18,30.4,4.8,0.9,36,,none,94.9
WN-2024-0001,Local Variety,ZONE-F,2024-11-06,19,31.1,4.8,0.66,39,,none,85.5
WN-2024-0001,Local Variety,ZONE-F,2024-11-13,20,32.5,4.9,1.43,38,,none,85.2
WN-2024-0001,Local Variety,ZONE-F,2024-11-20,21,33.6,5.0,1.08,39,,none,88.9
WN-2024-0001,Local Variety,ZONE-F,2024-11-27,22,34.1,5.1,0.54,40,,none,81.3
WN-2024-0001,Local Variety,ZONE-F,2024-12-04,23,34.9,5.2,0.78,44,,none,93.8
WN-2024-0001,Local Variety,ZONE-F,2024-12-11,24,35.6,5.3,0.68,42,,none,79.5
WN-2024-0001,Local Variety,ZONE-F,2024-12-18,25,36.5,5.5,0.89,44,,none,89.2
WN-2024-0001,Local Variety,ZONE-F,2024-12-25,26,37.4,5.5,0.91,43,,none,86.4
WN-2024-0001,Local Variety,ZONE-F,2025-01-01,27,38.1,5.5,0.69,45,,none,90.0
WN-2024-0001,Local Variety,ZONE-F,2025-01-08,28,38.5,5.6,0.4,47,,water_stress,95.6
WN-2024-0001,Local Variety,ZONE-F,2025-01-15,29,38.9,5.6,0.47,48,,none,92.3
WN-2024-0001,Local Variety,ZONE-F,2025-01-22,30,40.1,5.8,1.17,46,,none,91.8
WN-2024-0001,Local Variety,ZONE-F,2025-01-29,31,41.3,5.8,1.15,48,,none,85.0
WN-2024-0001,Local Variety,ZONE-F,2025-02-05,32,41.8,5.9,0.53,48,,none,87.4
WN-2024-0001,Local Variety,ZONE-F,2025-02-12,33,42.6,6.0,0.78,52,Powdery Mildew,none,97.1
WN-2024-0001,Local Variety,ZONE-F,2025-02-19,34,43.3,6.0,0.75,56,,none,93.9
WN-2024-0001,Local Variety,ZONE-F,2025-02-26,35,44.3,6.1,0.97,50,,none,91.1
WN-2024-0001,Local Variety,ZONE-F,2025-03-05,36,44.6,6.2,0.32,53,,water_stress,89.0
WN-2024-0001,Local Variety,ZONE-F,2025-03-12,37,45.9,6.2,1.25,52,,none,88.6
WN-2024-0001,Local Variety,ZONE-F,2025-03-19,38,47.2,6.2,1.31,56,,none,87.9
WN-2024-0001,Local Variety,ZONE-F,2025-03-26,39,48.6,6.4,1.44,57,,none,76.8
WN-2024-0001,Local Variety,ZONE-F,2025-04-02,40,50.0,6.6,1.41,58,,water_stress,85.6
WN-2024-0002,Local Variety,ZONE-A,2025-01-12,1,4.7,2.1,0.61,3,,none,92.0
WN-2024-0002,Local Variety,ZONE-A,2025-01-19,2,5.5,2.1,0.8,8,,none,87.1
