date,item_name,unit,opening_stock,consumed,received,closing_stock,unit_cost,daily_cost,below_reorder
2025-04-10,NPK Fertilizer 15-15-15,kg,150.0,1.82,0,148.2,45,82.0,False
2025-04-11,NPK Fertilizer 15-15-15,kg,148.2,3.55,0,144.6,45,160.0,False
2025-04-12,NPK Fertilizer 15-15-15,kg,144.6,3.1,0,141.5,45,140.0,False
2025-04-13,NPK Fertilizer 15-15-15,kg,141.5,0.0,0,141.5,45,0.0,False
2025-04-14,NPK Fertilizer 15-15-15,kg,141.5,2.61,0,138.9,45,117.0,False
2025-04-15,NPK Fertilizer 15-15-15,kg,138.9,2.74,0,136.2,45,123.0,False
2025-04-16,NPK Fertilizer 15-15-15,kg,136.2,3.26,0,132.9,45,147.0,False
2025-04-17,NPK Fertilizer 15-15-15,kg,132.9,3.65,0,129.3,45,164.0,False
2025-04-18,NPK Fertilizer 15-15-15,kg,129.3,2.02,0,127.2,45,91.0,False
2025-04-19,NPK Fertilizer 15-15-15,kg,127.2,1.7,0,125.5,45,77.0,False
2025-04-20,NPK Fertilizer 15-15-15,kg,125.5,0.0,0,125.5,45,0.0,False
2025-04-21,NPK Fertilizer 15-15-15,kg,125.5,3.0,0,122.5,45,135.0,False
2025-04-22,NPK Fertilizer 15-15-15,kg,122.5,2.8,0,119.7,45,126.0,False
2025-04-23,NPK Fertilizer 15-15-15,kg,119.7,4.34,0,115.4,45,195.0,False
2025-04-24,NPK Fertilizer 15-15-15,kg,115.4,2.75,0,112.7,45,124.0,False
2025-04-25,NPK Fertilizer 15-15-15,kg,112.7,2.24,0,110.4,45,101.0,False
2025-04-26,NPK Fertilizer 15-15-15,kg,110.4,2.71,0,107.7,45,122.0,False
2025-04-27,NPK Fertilizer 15-15-15,kg,107.7,0.0,0,107.7,45,0.0,False
2025-04-28,NPK Fertilizer 15-15-15,kg,107.7,3.4,0,104.3,45,153.0,False
2025-04-29,NPK Fertilizer 15-15-15,kg,104.3,3.25,0,101.0,45,146.0,False
2025-04-30,NPK Fertilizer 15-15-15,kg,101.0,3.85,0,97.2,45,173.0,False
2025-05-01,NPK Fertilizer 15-15-15,kg,97.2,3.35,0,93.9,45,151.0,False
2025-05-02,NPK Fertilizer 15-15-15,kg,93.9,3.38,0,90.5,45,152.0,False
2025-05-03,NPK Fertilizer 15-15-15,kg,90.5,2.61,0,87.9,45,117.0,False
2025-05-04,NPK Fertilizer 15-15-15,kg,87.9,0.0,0,87.9,45,0.0,False
2025-05-05,NPK Fertilizer 15-15-15,kg,87.9,2.01,0,85.9,45,90.0,False
2025-05-06,NPK Fertilizer 15-15-15,kg,85.9,3.74,0,82.1,45,168.0,False
2025-05-07,NPK Fertilizer 15-15-15,kg,82.1,2.69,0,79.4,45,121.0,False
2025-05-08,NPK Fertilizer 15-15-15,kg,79.4,3.48,0,75.9,45,157.0,False
2025-05-09,NPK Fertilizer 15-15-15,kg,75.9,2.46,0,73.5,45,111.0,False
2025-05-10,NPK Fertilizer 15-15-15,kg,73.5,1.71,0,71.8,45,77.0,False
2025-05-11,NPK Fertilizer 15-15-15,kg,71.8,0.0,0,71.8,45,0.0,False
2025-05-12,NPK Fertilizer 15-15-15,kg,71.8,1.65,0,70.1,45,74.0,False
2025-05-13,NPK Fertilizer 15-15-15,kg,70.1,2.82,0,67.3,45,127.0,False
2025-05-14,NPK Fertilizer 15-15-15,kg,67.3,3.6,0,63.7,45,162.0,False
2025-05-15,NPK Fertilizer 15-15-15,kg,63.7,3.87,0,59.8,45,174.0,False
2025-05-16,NPK Fertilizer 15-15-15,kg,59.8,2.21,0,57.6,45,100.0,False
2025-05-17,NPK Fertilizer 15-15-15,kg,57.6,3.45,0,54.2,45,155.0,False
2025-05-18,NPK Fertilizer 15-15-15,kg,54.2,0.0,0,54.2,45,0.0,False
2025-05-19,NPK Fertilizer 15-15-15,kg,54.2,4.11,0,50.1,45,185.0,False
2025-05-20,NPK Fertilizer 15-15-15,kg,50.1,2.13,0,47.9,45,96.0,False
2025-05-21,NPK Fertilizer 15-15-15,kg,47.9,1.89,0,46.0,45,85.0,False
2025-05-22,NPK Fertilizer 15-15-15,kg,46.0,3.92,0,42.1,45,176.0,False
2025-05-23,NPK Fertilizer 15-15-15,kg,42.1,1.62,0,40.5,45,73.0,False
2025-05-24,NPK Fertilizer 15-15-15,kg,40.5,2.58,0,37.9,45,116.0,False
2025-05-25,NPK Fertilizer 15-15-15,kg,37.9,0.0,0,37.9,45,0.0,False
2025-05-26,NPK Fertilizer 15-15-15,kg,37.9,3.53,0,34.4,45,159.0,False
2025-05-27,NPK Fertilizer 15-15-15,kg,34.4,3.98,0,30.4,45,179.0,False
2025-05-28,NPK Fertilizer 15-15-15,kg,30.4,2.81,0,27.6,45,126.0,False
2025-05-29,NPK Fertilizer 15-15-15,kg,27.6,1.74,0,25.9,45,78.0,False
2025-05-30,NPK Fertilizer 15-15-15,kg,25.9,1.78,0,24.1,45,80.0,False
2025-05-31,NPK Fertilizer 15-15-15,kg,24.1,3.58,0,20.5,45,161.0,False
2025-06-01,NPK Fertilizer 15-15-15,kg,20.5,0.0,0,20.5,45,0.0,False
2025-06-02,NPK Fertilizer 15-15-15,kg,20.5,3.88,0,16.6,45,175.0,True
2025-06-03,NPK Fertilizer 15-15-15,kg,16.6,2.47,0,14.2,45,111.0,True
2025-06-04,NPK Fertilizer 15-15-15,kg,14.2,3.7,100,110.5,45,166.0,False
2025-06-05,NPK Fertilizer 15-15-15,kg,110.5,2.23,0,108.2,45,100.0,False
2025-06-06,NPK Fertilizer 15-15-15,kg,108.2,2.31,0,105.9,45,104.0,False
2025-06-07,NPK Fertilizer 15-15-15,kg,105.9,1.99,0,103.9,45,90.0,False
2025-06-08,NPK Fertilizer 15-15-15,kg,103.9,0.0,0,103.9,45,0.0,False
2025-06-09,NPK Fertilizer 15-15-15,kg,103.9,1.64,0,102.3,45,74.0,False
2025-06-10,NPK Fertilizer 15-15-15,kg,102.3,4.01,0,98.3,45,180.0,False
2025-06-11,NPK Fertilizer 15-15-15,kg,98.3,4.18,0,94.1,45,188.0,False
2025-06-12,NPK Fertilizer 15-15-15,kg,94.1,3.29,0,90.8,45,148.0,False
2025-06-13,NPK Fertilizer 15-15-15,kg,90.8,2.56,0,88.2,45,115.0,False
2025-06-14,NPK Fertilizer 15-15-15,kg,88.2,1.73,0,86.5,45,78.0,False
2025-06-15,NPK Fertilizer 15-15-15,kg,86.5,0.0,0,86.5,45,0.0,False
2025-06-16,NPK Fertilizer 15-15-15,kg,86.5,2.02,0,84.5,45,91.0,False
2025-06-17,NPK Fertilizer 15-15-15,kg,84.5,2.04,0,82.5,45,92.0,False
2025-06-18,NPK Fertilizer 15-15-15,kg,82.5,2.75,0,79.7,45,124.0,False
2025-06-19,NPK Fertilizer 15-15-15,kg,79.7,4.18,0,75.5,45,188.0,False
2025-06-20,NPK Fertilizer 15-15-15,kg,75.5,2.28,0,73.2,45,103.0,False
2025-06-21,NPK Fertilizer 15-15-15,kg,73.2,3.44,0,69.8,45,155.0,False
2025-06-22,NPK Fertilizer 15-15-15,kg,69.8,0.0,0,69.8,45,0.0,False
2025-06-23,NPK Fertilizer 15-15-15,kg,69.8,4.18,0,65.6,45,188.0,False
2025-06-24,NPK Fertilizer 15-15-15,kg,65.6,3.22,0,62.4,45,145.0,False
2025-06-25,NPK Fertilizer 15-15-15,kg,62.4,1.81,0,60.6,45,81.0,False
2025-06-26,NPK Fertilizer 15-15-15,kg,60.6,3.35,0,57.2,45,151.0,False
2025-06-27,NPK Fertilizer 15-15-15,kg,57.2,3.37,0,53.9,45,152.0,False
2025-06-28,NPK Fertilizer 15-15-15,kg,53.9,3.59,0,50.3,45,162.0,False
2025-06-29,NPK Fertilizer 15-15-15,kg,50.3,0.0,0,50.3,45,0.0,False
2025-06-30,NPK Fertilizer 15-15-15,kg,50.3,3.62,0,46.6,45,163.0,False
2025-07-01,NPK Fertilizer 15-15-15,kg,46.6,2.39,0,44.3,45,108.0,False
2025-07-02,NPK Fertilizer 15-15-15,kg,44.3,2.47,0,41.8,45,111.0,False
2025-07-03,NPK Fertilizer 15-15-15,kg,41.8,2.32,0,39.5,45,105.0,False
2025-07-04,NPK Fertilizer 15-15-15,kg,39.5,3.2,0,36.3,45,144.0,False
2025-07-05,NPK Fertilizer 15-15-15,kg,36.3,1.74,0,34.5,45,78.0,False
2025-07-06,NPK Fertilizer 15-15-15,kg,34.5,0.0,0,34.5,45,0.0,False
2025-07-07,NPK Fertilizer 15-15-15,kg,34.5,2.84,0,31.7,45,128.0,False
2025-07-08,NPK Fertilizer 15-15-15,kg,31.7,3.97,0,27.7,45,179.0,False
2025-07-09,NPK Fertilizer 15-15-15,kg,27.7,4.0,0,23.7,45,180.0,False
2025-07-10,NPK Fertilizer 15-15-15,kg,23.7,2.69,0,21.0,45,121.0,False
2025-07-11,NPK Fertilizer 15-15-15,kg,21.0,2.59,0,18.4,45,117.0,True
2025-07-12,NPK Fertilizer 15-15-15,kg,18.4,2.01,100,116.4,45,90.0,False
2025-07-13,NPK Fertilizer 15-15-15,kg,116.4,0.0,0,116.4,45,0.0,False
2025-07-14,NPK Fertilizer 15-15-15,kg,116.4,2.09,0,114.3,45,94.0,False
2025-07-15,NPK Fertilizer 15-15-15,kg,114.3,2.98,0,111.3,45,134.0,False
2025-07-16,NPK Fertilizer 15-15-15,kg,111.3,3.72,0,107.6,45,167.0,False
2025-07-17,NPK Fertilizer 15-15-15,kg,107.6,1.92,0,105.7,45,86.0,False
2025-07-18,NPK Fertilizer 15-15-15,kg,105.7,1.87,0,103.8,45,84.0,False
2025-07-19,NPK Fertilizer 15-15-15,kg,103.8,2.05,0,101.8,45,92.0,False
2025-07-20,NPK Fertilizer 15-15-15,kg,101.8,0.0,0,101.8,45,0.0,False
2025-07-21,NPK Fertilizer 15-15-15,kg,101.8,3.75,0,98.0,45,169.0,False
2025-07-22,NPK Fertilizer 15-15-15,kg,98.0,3.81,0,94.2,45,171.0,False
2025-07-23,NPK Fertilizer 15-15-15,kg,94.2,3.97,0,90.2,45,179.0,False
2025-07-24,NPK Fertilizer 15-15-15,kg,90.2,3.45,0,86.8,45,155.0,False
2025-07-25,NPK Fertilizer 15-15-15,kg,86.8,4.17,0,82.6,45,188.0,False
2025-07-26,NPK Fertilizer 15-15-15,kg,82.6,3.95,0,78.7,45,178.0,False
2025-07-27,NPK Fertilizer 15-15-15,kg,78.7,0.0,0,78.7,45,0.0,False
2025-07-28,NPK Fertilizer 15-15-15,kg,78.7,3.45,0,75.2,45,155.0,False
2025-07-29,NPK Fertilizer 15-15-15,kg,75.2,1.92,0,73.3,45,86.0,False
